Drer Drer Drer Drer Olat Olat Olat Olat Eluc Eluc Eluc Eluc Ssal Ssal Ssal Ssal Salp Salp Salp Salp Omyk Omyk Omyk Okis Okis Okis Okis
OG0000097_2 -5.4006087945155 -4.02030445119305 -0.665280005870446 1.07952618839259 -4.22941707565757 -3.66518510644671 -4.80923419047821 -6.64385618977472 -0.904769839755636 -0.930117995322854 -1.06153132863543 -1.91078344833854 -4.11335650968446 -4.10499839659959 -4.40276545387079 -3.52488897264715 -4.01560457923101 -3.59573314769227 -2.15321859401904 -4.2591439125801 -5.02038576429884 -3.37847796445887 -2.70396724983244 -2.30162750134346 -3.65031466758696 -6.64385618977472 -4.14884538154118
OG0000097_3 2.49654129200564 -1.994678535357 0.887406731185535 -2.99709893515252 -6.64385618977472 -4.92392842806886 -4.80923419047821 -6.64385618977472 4.039518084249 4.44843439399785 3.96075069078187 3.28778827554234 -6.64385618977472 -6.64385618977472 -6.64385618977472 -5.57467870107321 -1.31326492072657 -1.32986522650882 -1.10265527592499 -1.96405790498361 -4.27584040734239 -3.89030742427407 -4.11220071634766 -1.44174972662204 -2.08107241699987 -2.58906495288022 -2.04771854947616
OG0000110_3 -2.31169884712157 -2.09717778649331 -2.43590548349257 -0.343826986240008 0.277254313842798 -0.258577570868047 -0.118403198508721 0.544335832264332 0.021703762943766 0.216349842564289 0.177758381791752 -0.47870563387974 -0.7197213899096 -0.427165963230133 -0.721641779269671 -0.729655592494829 -1.31326492072657 -0.817383294648041 -0.746986524679611 -0.93311853454649 -1.03308160921074 -0.420601223577866 -0.951962224190667 -1.55396473263043 -0.466262581378955 -0.372222597352106 -0.411249073524344
OG0000112_1 -6.64385618977472 -6.64385618977472 -3.42610557333503 -6.64385618977472 -2.83718515673748 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -3.89030742427407 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472
OG0000124_1 -6.64385618977472 -6.64385618977472 -2.30551627066181 -1.9719419726453 3.28934454612372 0.6923730808269 2.10316916008479 1.53938100301409 2.53705144033395 2.64359412449788 2.30908071146645 1.74518606536896 1.20370510501309 0.143482070348406 1.3046154238445 1.52426330502655 -4.19962169424996 -3.2249733940964 -2.28431896599343 -3.40433670065481 -2.50232320015688 -2.61558425869998 -3.69988098068976 -1.76287715828317 -0.774596732513804 -0.164830443854584 -6.64385618977472
OG0000126_1 -4.74289631225549 -6.64385618977472 -2.57926068291748 -3.37424386281907 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -4.44540959783219 -4.78878121708542 -4.58018190099473 -3.83191094128171 -2.49638573522497 -4.87592869287885 -3.79334227100524 -4.96737503244783 -1.6731782401868 -1.55109715580743 -1.54801663313364 -4.46795971362744 -3.42281235960286 -5.10056830372132 -3.11764137300472 -1.95495060584999 -0.818219796883956 -1.67484865159666 -0.773421602436047
OG0000126_3 2.54466636715119 2.29705083162865 2.7546364925182 1.95803915155246 2.10723198535256 1.7133587407723 1.84424796366361 1.99745834598633 -0.234423514912915 1.17152777921656 0.720677450098572 3.44762908180353 0.610629508082348 2.3119755964117 1.91165085969437 2.41587988623238 2.34320866015179 2.20386200450296 1.93281881921245 2.21211024410936 2.03909340578918 1.88579535923259 1.69727000940418 2.52794031041931 2.42090668481874 2.60482264388314 2.4176295070302
OG0000127_1 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -6.64385618977472 -5.13040076592908
OG0000129_1 4.14480439273061 4.83154444512813 3.59877170513729 1.7389365273128 3.59102329389037 3.33855949510035 3.19947391637627 4.14053846670838 3.64499294484623 3.86178325883102 3.57446584014648 6.11940782067476 2.36346445854625 3.82570842855822 3.30567732795167 4.36547711948392 2.65272664221879 1.86298546836245 2.3450641881477 2.71253330749499 2.55553447646109 2.80895934664073 2.46946780885572 3.35993441489869 2.64826631446963 2.89052549190772 3.32843034020205
OG0000131_2 -0.268148103126621 1.96317784871572 -0.596933874548574 -0.541401262057862 2.01748403762467 4.11816170993846 3.41962468165545 3.77300072154904 2.55125842661399 3.53793725674272 2.02047794044004 3.79612213943585 0.760557732856018 1.67149703446984 1.71273361372908 1.06050918501492 0.433081580727746 -0.28995438132518 0.133657399428135 0.672107637838849 0.622600193407134 0.848102765850037 1.06042035667899 0.352979785812331 0.506159118165092 0.652540700321643 0.674429227142253
